68	399	67	
76	400	77	
66	408	407	
409	410	55	
411	415	385	
77	400	392	
391	399	68	
54	409	55	
66	407	65	
412	415	411	
6	389	75	
84	390	7	
66	432	408	
399	420	67	
76	421	400	
49	430	402	
401	431	60	
402	428	49	
60	429	401	
385	415	410	
413	416	390	
389	417	414	
93	405	6	
7	406	100	
74	422	397	
398	423	83	
403	435	391	
392	436	404	
408	412	386	
397	424	74	
83	425	398	
434	435	403	
404	436	433	
414	417	53	
64	416	413	
410	415	55	
51	397	52	
63	398	62	
45	399	46	
57	400	56	
390	406	7	
6	405	389	
430	434	394	
393	433	431	
391	435	399	
400	436	392	
388	405	93	
100	406	387	
394	434	403	
404	433	393	
52	414	53	
64	413	63	
80	401	81	
71	394	70	
73	396	72	
79	393	80	
81	395	82	
69	391	68	
72	402	71	
77	392	78	
78	404	79	
70	403	69	
1	415	412	
412	432	1	
71	402	394	
81	401	395	
393	401	80	
69	403	391	
396	402	72	
392	404	78	
394	403	70	
79	404	393	
399	435	46	
57	436	400	
44	421	5	
4	420	43	
414	422	389	
390	423	413	
402	430	394	
393	431	401	
5	421	76	
67	420	4	
63	413	398	
397	414	52	
410	419	385	
386	418	408	
388	410	409	
407	408	387	
74	424	73	
82	425	83	
53	417	54	
65	416	64	
55	415	1	
97	411	96	
94	388	93	
96	385	95	
100	387	99	
98	386	97	
61	429	60	
49	428	50	
54	417	409	
407	416	65	
389	422	75	
84	423	390	
1	432	66	
408	432	412	
406	407	387	
388	409	405	
62	427	61	
50	426	51	
95	419	94	
99	418	98	
400	438	56	
45	437	399	
406	416	407	
409	417	405	
390	416	406	
405	417	389	
408	418	387	
388	419	410	
50	428	426	
427	429	61	
51	426	397	
398	427	62	
96	411	385	
386	411	97	
3	438	44	
43	437	2	
2	437	45	
56	438	3	
75	422	74	
83	423	84	
385	419	95	
98	418	386	
387	418	99	
94	419	388	
48	434	430	
431	433	59	
47	435	434	
433	436	58	
413	423	398	
397	422	414	
46	435	47	
58	436	57	
59	433	58	
47	434	48	
48	430	49	
60	431	59	
386	412	411	
73	424	396	
395	425	82	
399	437	420	
421	438	400	
396	428	402	
401	429	395	
426	428	396	
395	429	427	
397	426	424	
425	427	398	
44	438	421	
420	437	43	
424	426	396	
395	427	425	
